Execution,clock,current_position_x,current_position_y,target_position_x,target_position_y,move_x,move_y
1,1304,315,115,241,227,0,5
1,1321,315,120,241,227,0,5
1,1338,315,125,241,227,0,5
1,1355,315,130,241,227,0,5
1,1372,315,135,241,227,0,5
1,1388,315,140,241,227,0,5
1,1405,315,145,241,227,0,5
1,1421,315,150,241,227,0,5
1,1438,315,155,241,227,0,5
1,1455,315,160,241,227,0,5
1,1471,315,165,241,227,0,5
1,1488,315,170,241,227,0,5
1,1505,315,175,241,227,0,5
1,1522,315,180,241,227,0,5
1,1539,315,185,241,227,0,5
1,1556,315,190,241,227,0,5
1,1573,315,195,241,227,0,5
1,1590,315,200,241,227,0,5
1,1607,315,205,241,227,0,5
1,1624,315,210,241,227,0,5
1,1641,315,215,241,227,0,5
1,1657,315,220,241,227,0,5
1,1674,315,225,241,227,0,5
1,1691,315,230,241,227,0,5
1,1708,315,235,241,227,0,5
1,1725,315,240,241,227,0,5
1,1742,315,245,241,227,0,5
1,1759,315,250,241,227,0,5
1,1793,310,250,241,227,-5,0
1,1810,305,250,241,227,-5,0
1,1827,300,250,241,227,-5,0
1,1844,295,250,241,227,-5,0
1,1861,290,250,241,227,-5,0
1,1878,285,250,241,227,-5,0
1,1895,280,250,241,227,-5,0
1,1912,275,250,241,227,-5,0
1,2065,275,245,241,227,0,-5
1,2082,275,240,241,227,0,-5
1,2099,275,235,241,227,0,-5
1,2355,270,235,241,227,-5,0
1,2371,265,235,241,227,-5,0
2,3957,235,482,417,336,5,0
2,3973,240,482,417,336,5,0
2,3990,245,482,417,336,5,0
2,4007,250,482,417,336,5,0
2,4024,255,482,417,336,5,0
2,4041,260,482,417,336,5,0
2,4058,265,482,417,336,5,0
2,4075,270,482,417,336,5,0
2,4091,275,482,417,336,5,0
2,4108,280,482,417,336,5,0
2,4124,285,482,417,336,5,0
2,4141,290,482,417,336,5,0
2,4158,295,482,417,336,5,0
2,4174,300,482,417,336,5,0
2,4191,305,482,417,336,5,0
2,4208,310,482,417,336,5,0
2,4225,315,482,417,336,5,0
2,4242,320,482,417,336,5,0
2,4259,325,482,417,336,5,0
2,4276,330,482,417,336,5,0
2,4292,335,482,417,336,5,0
2,4309,340,482,417,336,5,0
2,4326,345,482,417,336,5,0
2,4343,350,482,417,336,5,0
2,4360,355,482,417,336,5,0
2,4377,360,482,417,336,5,0
2,4395,365,482,417,336,5,0
2,4413,370,482,417,336,5,0
2,4429,375,482,417,336,5,0
2,4446,380,482,417,336,5,0
2,4463,385,482,417,336,5,0
2,4480,390,482,417,336,5,0
2,4497,395,482,417,336,5,0
2,4514,400,482,417,336,5,0
2,4531,405,477,417,336,5,-5
2,4547,410,472,417,336,5,-5
2,4564,415,467,417,336,5,-5
2,4581,420,462,417,336,5,-5
2,4598,425,457,417,336,5,-5
2,4615,430,452,417,336,5,-5
2,4632,435,447,417,336,5,-5
2,4649,440,442,417,336,5,-5
2,4666,445,437,417,336,5,-5
2,4682,450,432,417,336,5,-5
2,4699,455,427,417,336,5,-5
2,4716,455,422,417,336,0,-5
2,4733,455,417,417,336,0,-5
2,4750,455,412,417,336,0,-5
2,4767,455,407,417,336,0,-5
2,4784,455,402,417,336,0,-5
2,4801,455,397,417,336,0,-5
2,5344,450,397,417,336,-5,0
2,5360,445,397,417,336,-5,0
2,5377,440,397,417,336,-5,0
2,5394,435,397,417,336,-5,0
2,5411,430,397,417,336,-5,0
2,5428,425,397,417,336,-5,0
2,5444,420,397,417,336,-5,0
2,5626,420,392,417,336,0,-5
2,5643,420,387,417,336,0,-5
2,5661,420,382,417,336,0,-5
2,5678,420,377,417,336,0,-5
2,5694,420,372,417,336,0,-5
2,5711,420,367,417,336,0,-5
2,5727,420,362,417,336,0,-5
2,5744,420,357,417,336,0,-5
3,7294,686,120,334,152,-5,0
3,7311,681,120,334,152,-5,0
3,7328,676,120,334,152,-5,0
3,7345,671,120,334,152,-5,0
3,7363,666,120,334,152,-5,0
3,7380,661,120,334,152,-5,0
3,7397,656,120,334,152,-5,0
3,7414,651,120,334,152,-5,0
3,7431,646,120,334,152,-5,0
3,7448,641,120,334,152,-5,0
3,7465,636,120,334,152,-5,0
3,7482,631,120,334,152,-5,0
3,7499,626,125,334,152,-5,5
3,7515,621,130,334,152,-5,5
3,7532,616,135,334,152,-5,5
3,7548,611,140,334,152,-5,5
3,7565,606,145,334,152,-5,5
3,7582,601,150,334,152,-5,5
3,7598,596,155,334,152,-5,5
3,7614,591,160,334,152,-5,5
3,7631,586,165,334,152,-5,5
3,7648,581,170,334,152,-5,5
3,7665,576,170,334,152,-5,0
3,7682,571,170,334,152,-5,0
3,7699,566,170,334,152,-5,0
3,7716,561,170,334,152,-5,0
3,7733,556,170,334,152,-5,0
3,7750,551,170,334,152,-5,0
3,7766,546,170,334,152,-5,0
3,7783,541,170,334,152,-5,0
3,7800,536,170,334,152,-5,0
3,7817,531,170,334,152,-5,0
3,7834,526,170,334,152,-5,0
3,7851,521,170,334,152,-5,0
3,7868,516,170,334,152,-5,0
3,7883,511,170,334,152,-5,0
3,7899,506,170,334,152,-5,0
3,7916,501,170,334,152,-5,0
3,7934,496,170,334,152,-5,0
3,7951,491,170,334,152,-5,0
3,7968,486,170,334,152,-5,0
3,7985,481,170,334,152,-5,0
3,8002,476,170,334,152,-5,0
3,8019,471,170,334,152,-5,0
3,8036,466,170,334,152,-5,0
3,8053,461,170,334,152,-5,0
3,8070,456,170,334,152,-5,0
3,8087,451,170,334,152,-5,0
3,8104,446,170,334,152,-5,0
3,8121,441,170,334,152,-5,0
3,8138,436,170,334,152,-5,0
3,8155,431,170,334,152,-5,0
3,8173,426,170,334,152,-5,0
3,8190,421,170,334,152,-5,0
3,8207,416,170,334,152,-5,0
3,8224,411,170,334,152,-5,0
3,8241,406,170,334,152,-5,0
3,8258,401,170,334,152,-5,0
3,8275,396,170,334,152,-5,0
3,8293,391,170,334,152,-5,0
3,8309,386,170,334,152,-5,0
3,8325,381,170,334,152,-5,0
3,8341,376,170,334,152,-5,0
3,8358,371,170,334,152,-5,0
3,8375,366,170,334,152,-5,0
3,8779,361,170,334,152,-5,0
3,8795,356,170,334,152,-5,0
4,10838,560,181,437,33,0,-5
4,10855,560,176,437,33,0,-5
4,10873,560,171,437,33,0,-5
4,10890,560,166,437,33,0,-5
4,10907,560,161,437,33,0,-5
4,10924,560,156,437,33,0,-5
4,10941,560,151,437,33,0,-5
4,10958,560,146,437,33,0,-5
4,10974,560,141,437,33,0,-5
4,10991,560,136,437,33,0,-5
4,11008,560,131,437,33,0,-5
4,11025,560,126,437,33,0,-5
4,11041,560,121,437,33,0,-5
4,11057,555,116,437,33,-5,-5
4,11074,550,111,437,33,-5,-5
4,11091,545,106,437,33,-5,-5
4,11108,540,101,437,33,-5,-5
4,11125,535,96,437,33,-5,-5
4,11142,530,91,437,33,-5,-5
4,11159,525,86,437,33,-5,-5
4,11176,520,81,437,33,-5,-5
4,11193,515,76,437,33,-5,-5
4,11210,510,71,437,33,-5,-5
4,11227,505,66,437,33,-5,-5
4,11243,500,61,437,33,-5,-5
4,11259,495,56,437,33,-5,-5
4,11275,490,51,437,33,-5,-5
4,11292,485,46,437,33,-5,-5
4,11309,480,41,437,33,-5,-5
4,11326,475,36,437,33,-5,-5
4,11343,470,31,437,33,-5,-5
4,11360,465,26,437,33,-5,-5
4,11377,460,26,437,33,-5,0
4,11393,455,26,437,33,-5,0
4,11410,450,26,437,33,-5,0
4,11426,445,26,437,33,-5,0
4,11443,440,26,437,33,-5,0
4,11460,435,26,437,33,-5,0
4,11917,435,31,437,33,0,5
4,11933,435,36,437,33,0,5
4,11950,435,41,437,33,0,5
4,11967,435,46,437,33,0,5
5,14724,132,15,160,437,0,5
5,14741,132,20,160,437,0,5
5,14758,132,25,160,437,0,5
5,14775,132,30,160,437,0,5
5,14792,132,35,160,437,0,5
5,14808,132,40,160,437,0,5
5,14825,132,45,160,437,0,5
5,14842,132,50,160,437,0,5
5,14858,132,55,160,437,0,5
5,14875,132,60,160,437,0,5
5,14891,132,65,160,437,0,5
5,14908,132,70,160,437,0,5
5,14925,132,75,160,437,0,5
5,14942,132,80,160,437,0,5
5,14959,132,85,160,437,0,5
5,14976,132,90,160,437,0,5
5,14993,132,95,160,437,0,5
5,15010,132,100,160,437,0,5
5,15027,132,105,160,437,0,5
5,15044,132,110,160,437,0,5
5,15061,132,115,160,437,0,5
5,15078,132,120,160,437,0,5
5,15095,132,125,160,437,0,5
5,15112,132,130,160,437,0,5
5,15129,132,135,160,437,0,5
5,15146,132,140,160,437,0,5
5,15163,132,145,160,437,0,5
5,15180,132,150,160,437,0,5
5,15197,132,155,160,437,0,5
5,15213,132,160,160,437,0,5
5,15230,132,165,160,437,0,5
5,15247,132,170,160,437,0,5
5,15264,132,175,160,437,0,5
5,15281,137,180,160,437,5,5
5,15298,142,185,160,437,5,5
5,15315,147,190,160,437,5,5
5,15332,152,195,160,437,5,5
5,15349,157,200,160,437,5,5
5,15366,162,205,160,437,5,5
5,15383,167,210,160,437,5,5
5,15400,167,215,160,437,0,5
5,15416,167,220,160,437,0,5
5,15433,167,225,160,437,0,5
5,15450,167,230,160,437,0,5
